employee_shift_id,employee_id,shift_date,shift_start_time,shift_end_time,hourly_wage,location_id
1,198,2023-10-19,22:03:00,06:03:00,$15.00,1
2,199,2023-10-26,07:10:00,15:10:00,$15.00,3
3,200,2023-05-20,20:22:00,04:22:00,$18.50,2
4,201,2023-08-08,17:57:00,01:57:00,$25.00,4
5,202,2023-09-28,22:49:00,06:49:00,$20.00,1
6,203,2023-08-04,12:30:00,20:30:00,$22.50,4
7,204,2023-01-01,03:25:00,11:25:00,$21.00,2
8,205,2023-06-15,14:51:00,22:51:00,$28.00,2
9,206,2023-08-27,19:18:00,03:18:00,$19.50,4
10,100,2023-11-27,07:30:00,15:30:00,$35.00,1
11,101,2023-06-30,03:44:00,11:44:00,$32.50,1
12,102,2023-08-14,03:16:00,11:16:00,$32.50,2
13,103,2023-11-18,08:17:00,16:17:00,$24.00,4
14,104,2023-06-01,06:41:00,14:41:00,$24.00,1
15,105,2023-11-12,22:15:00,06:15:00,$24.00,5
16,106,2023-01-27,07:22:00,15:22:00,$24.00,4
17,107,2023-01-01,18:30:00,02:30:00,$24.00,3
18,108,2023-03-15,00:53:00,08:53:00,$30.00,5
19,109,2023-05-19,12:19:00,20:19:00,$20.50,1
20,110,2023-10-31,12:28:00,20:28:00,$20.50,1
21,111,2023-04-15,15:22:00,23:22:00,$20.50,5
22,112,2023-04-10,07:50:00,15:50:00,$20.50,4
23,113,2023-09-05,06:11:00,14:11:00,$20.50,1
24,114,2023-10-01,03:58:00,11:58:00,$26.00,5
25,115,2023-08-30,07:33:00,15:33:00,$17.00,4
26,116,2023-06-12,20:38:00,04:38:00,$17.00,2
27,117,2023-04-26,02:28:00,10:28:00,$17.00,2
28,118,2023-08-02,10:47:00,18:47:00,$17.00,2
29,119,2023-02-19,10:32:00,18:32:00,$17.00,1
30,120,2023-03-06,07:10:00,15:10:00,$27.00,5
31,121,2023-10-28,05:17:00,13:17:00,$27.00,5
32,122,2023-08-17,08:24:00,16:24:00,$27.00,3
33,123,2023-08-25,15:54:00,23:54:00,$27.00,1
34,124,2023-02-22,18:23:00,02:23:00,$27.00,3
35,125,2023-01-14,21:42:00,05:42:00,$15.00,2
36,126,2023-08-09,08:43:00,16:43:00,$15.00,1
37,127,2023-03-27,16:37:00,00:37:00,$15.00,2
38,128,2023-08-17,20:37:00,04:37:00,$15.00,3
39,129,2023-04-21,06:24:00,14:24:00,$15.00,5
40,130,2023-02-13,12:23:00,20:23:00,$15.00,5
41,131,2023-11-03,11:18:00,19:18:00,$15.00,1
42,132,2023-03-06,07:36:00,15:36:00,$15.00,5
43,133,2023-03-17,03:10:00,11:10:00,$15.00,5
44,134,2023-07-23,12:03:00,20:03:00,$15.00,4
45,135,2023-01-09,13:12:00,21:12:00,$15.00,1
46,136,2023-01-02,10:06:00,18:06:00,$15.00,3
47,137,2023-11-27,17:08:00,01:08:00,$15.00,1
48,138,2023-08-09,08:39:00,16:39:00,$15.00,3
49,139,2023-01-14,13:04:00,21:04:00,$15.00,3
50,140,2023-05-08,23:05:00,07:05:00,$15.00,5
51,198,2023-09-06,07:13:00,15:13:00,$15.00,1
52,199,2023-03-31,11:32:00,19:32:00,$15.00,3
53,200,2023-02-21,07:23:00,15:23:00,$18.50,2
54,201,2023-01-04,00:11:00,08:11:00,$25.00,4
55,202,2023-01-16,17:40:00,01:40:00,$20.00,1
56,203,2023-11-28,23:38:00,07:38:00,$22.50,4
57,204,2023-05-21,10:29:00,18:29:00,$21.00,2
58,205,2023-06-28,22:58:00,06:58:00,$28.00,2
59,206,2023-04-20,02:00:00,10:00:00,$19.50,4
60,100,2023-11-09,02:30:00,10:30:00,$35.00,1
